Nation,Region,Recognition,Address,Website
Evansville Village (aka Bettles Field),Alaska,Federal,"PO Box 26087, Bettles Field, AK99726-0087",
Ewiiaapaayp Band of Kumeyaay Indians,Pacific,Federal,"4054 Willows Road, Alpine, CA91901-1620",http://www.sctca.net/ewiiaapaayp-band-kumeyaay-indians
Federated Indians of Graton Rancheria,Pacific,Federal,"6400 Redwood Drive, Suite 300, Rohnert Park, CA94928-2341",http://www.gratonrancheria.com
Flandreau Santee Sioux Tribe,Great Plains,Federal,"603 W, Broad Avenue/P.O. Box 283, Flandreau, SD57028-0283",http://www.santeesioux.com
Fond du Lac Reservation Business Committee,Midwest,Federal,"1720 Big Lake Road, Cloquet, MN55720-9702",http://www.fdlrez.com
Forest County Potawatomi Community,Midwest,Federal,"PO Box 340, Crandon, WI54520-0340",http://www.fcpotawatomi.com
Fort Belknap Tribe,Rocky Mountain,Federal,"656 Agency Main Street, Harlem, MT59526-9455",https://ftbelknap.org/
Fort Bidwell Paiute Indian Reservation,Pacific,Federal,"PO Box 129, Fort Bidwell, CA96112-0129",
Fort Independence Indian Reservation,Pacific,Federal,"PO Box 67, Independence, CA93526-0067",http://www.fortindependence.com
Fort McDermitt Paiute and Shoshone Tribes,Western,Federal,"PO Box 457, Mc Dermitt, NV89421-0457",
Fort McDowell Yavapai Nation,Western,Federal,"PO Box 17779, Fountain Hills, AZ85269-7779",http://www.fmyn.org
"Fort Mojave Indian Tribe of Arizona, California & Nevada",Western,Federal,"500 Merriman Avenue, Needles, CA92363-2229",http://www.mojaveindiantribe.com
Fort Peck Tribes of Assiniboine and Sioux Tribes,Rocky Mountain,Federal,"PO Box 1027, Poplar, MT59255-1027",http://www.fortpecktribes.org
Fort Sill Apache Tribe of Oklahoma,Southern Plains,Federal,"43187 US HIGHWAY 281, Apache, OK73006-8038",http://fortsillapache-nsn.gov
"Four Winds Tribe, Louisiana Cherokee",Southeast,State,"PO Box 453, Rosepine , LA70659",https://www.fourwindscherokee.com/
Galena Village aka Louden Village,Alaska,Federal,"PO Box 244, Galena, AK99741-0244",
Georgia Tribe of Eastern Cherokee,Southeast,State,"P.O. Box 1915, Cumming, GA30028",http://www.georgiatribeofeasterncherokee.com
Gila River Indian Community,Western,Federal,"PO Box 97, Sacaton, AZ85147-0001",http://www.gilariver.org
Grand Portage Reservation Tribal Council,Midwest,Federal,"PO Box 428, Grand Portage, MN55605-0428",http://www.grandportage.com
Grand Traverse Band of Ottawa and Chippewa Indians,Midwest,Federal,"2605 NW  Bayshore Drive, Peshawbestown, MI49682-9637",http://www.gtbindians.org
Greenville Rancheria,Pacific,Federal,"PO Box 279, Greenville, CA95947-0279",http://www.greenvillerancheria.com
Grindstone Indian Rancheria,Pacific,Federal,"PO Box 63, Elk Creek, CA95939-0063",
Guidiville Indian Rancheria,Pacific,Federal,"PO Box 339, Talmage, CA95481-0339",
Gulkana Village,Alaska,Federal,"PO Box 254, Gulkana,, AK99586-0254",
Gwichyaa Zhee Gwichi'in Tribal Government - Native Village of Fort Yukon (IRA),Alaska,Federal,"PO Box 126, Fort Yukon, AK99740-0126",http://www.fortyukon.org
Habematolel Pomo of Upper Lake,Pacific,Federal,"PO Box 516, Upper Lake, CA95485-0516",http://www.upperlakepomo.com
Haliwa-Saponi Indian Tribe,Southeast,State,"PO Box 99, Hollister, NC27844-0099",http://www.haliwa-saponi.com
Hannahville Indian Community of Michigan,Midwest,Federal,"N 14911 Hannahville B1 Road, Wilson, MI49896",http://www.hannahville.net
Havasupai Tribe,Western,Federal,"PO Box 10, Supai, AZ86435-0010",http://www.havasupaitribe.com
Herring Pond Wampanoag Tribe,Northeast,State,"128 Herring Pond Road, Plymouth, MA02360",http://www.herringpondtribe.org/
Ho-Chunk Nation,Midwest,Federal,"PO Box 667, Black River Falls, WI54615-0667",http://www.ho-chunknation.com
Hoh Indian Tribe,Northwest,Federal,"PO Box 2196, Forks, WA98331-2196",http://hohtribe-nsn.org
Holy Cross Village,Alaska,Federal,"PO Box 89, Holy Cross, AK99602-0089",
Hoonah Indian Association (IRA),Alaska,Federal,"PO Box 602, Hoonah, AK99829-0602",
Hoopa Valley Tribe,Pacific,Federal,"PO Box 1348, Hoopa, CA95546-1348",http://www.hoopa-nsn.gov
Hopi Tribe,Western,Federal,"PO Box 123, Kykotsmovi, AZ86039-0123",http://www.hopi.nsn.us
Hopland Band of Pomo Indians,Pacific,Federal,"3000 Shanel Road, Hopland, CA95449-9809",http://www.hoplandtribe.com
Houlton Band of Maliseet Indians,Northeast,Federal,"88 Bell Rd, Littleton, ME04730-6704",http://www.maliseets.com
Hualapai Tribe,Western,Federal,"PO Box 179, Peach Springs, AZ86434-0179",http://www.hualapai-nsn.gov
Hughes Village - Hodotl'eekkaakk'e Tribe,Alaska,Federal,"PO Box 45029, Hughes, AK99745-0029",
Huslia Village,Alaska,Federal,"PO Box 70, Huslia, AK99746-0070",
Hydaburg Cooperative Association (IRA),Alaska,Federal,"PO Box 349, Hydaburg, AK99922-0349",http://hydaburgtribe.org
Igiugig Village,Alaska,Federal,"PO Box 4008, Igiugig, AK99613-4008",http://www.igiugig.com
Iipay Nation of Santa Ysabel Band,Pacific,Federal,"PO Box 130, Santa Ysabel, CA92070-0130",www.iipaynation-nsn.com
Inaja-Cosmit Band of Mission Indians,Pacific,Federal,"2005 S Escondido Boulevard, Escondido, CA92025-8207",
Inupiat Community of the Arctic Slope (IRA),Alaska,Federal,"PO Box 934, Barrow, AK99723-0934",http://inupiatgov.com
